variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,munmap,10000000,10000,50000,usec_per_iter,0.1459,0.07986,-0.3744452328591089
alloc,munmap,10000000,50000,100000,usec_per_iter,0.07986,0.17062,1.095241791551684
alloc,openat,10000000,100,5000,usec_per_iter,3.79,0.0206,-1.3330264712260314
alloc,openat,10000000,5000,10000,usec_per_iter,0.0206,0.0098,-1.0717906830680097
alloc,openat,10000000,10000,50000,usec_per_iter,0.0098,0.00126,-1.274526124223591
alloc,openat,10000000,50000,100000,usec_per_iter,0.00126,0.0,nan
alloc,pread64,10000000,100,5000,usec_per_iter,0.4,0.0104,-0.932933864626193
alloc,pread64,10000000,5000,10000,usec_per_iter,0.0104,0.004,-1.378511623253729
alloc,pread64,10000000,10000,50000,usec_per_iter,0.004,0.00102,-0.8490490520116064
alloc,pread64,10000000,50000,100000,usec_per_iter,0.00102,0.0,nan
alloc,prlimit64,10000000,100,5000,usec_per_iter,0.0,0.002,nan
alloc,prlimit64,10000000,5000,10000,usec_per_iter,0.002,0.0,nan
alloc,prlimit64,10000000,10000,50000,usec_per_iter,0.0,0.0004,nan
alloc,prlimit64,10000000,50000,100000,usec_per_iter,0.0004,0.00012,-1.736965594166207
alloc,read,10000000,100,5000,usec_per_iter,1.98,0.0118,-1.309489383142395
alloc,read,10000000,5000,10000,usec_per_iter,0.0118,0.006,-0.9757524537533235
alloc,read,10000000,10000,50000,usec_per_iter,0.006,0.00056,-1.473544239363818
alloc,read,10000000,50000,100000,usec_per_iter,0.00056,0.0,nan
alloc,rseq,10000000,100,5000,usec_per_iter,0.1,0.0086,-0.6271455917627253
alloc,rseq,10000000,5000,10000,usec_per_iter,0.0086,0.0012,-2.8413022539809414
alloc,rseq,10000000,10000,50000,usec_per_iter,0.0012,0.00016,-1.2519296364125925
alloc,rseq,10000000,50000,100000,usec_per_iter,0.00016,0.00024,0.5849625007211552
alloc,rt_sigaction,10000000,100,5000,usec_per_iter,0.0,0.0016,nan
alloc,rt_sigaction,10000000,5000,10000,usec_per_iter,0.0016,0.0009,-0.8300749985576884
alloc,rt_sigaction,10000000,10000,50000,usec_per_iter,0.0009,0.00076,-0.1050530304634271
alloc,rt_sigaction,10000000,50000,100000,usec_per_iter,0.00076,0.00012,-2.6629650127224296
alloc,rt_sigprocmask,10000000,100,5000,usec_per_iter,0.0,0.0058,nan
alloc,rt_sigprocmask,10000000,5000,10000,usec_per_iter,0.0058,0.0032,-0.857980995127571
alloc,rt_sigprocmask,10000000,10000,50000,usec_per_iter,0.0032,0.00076,-0.8932234318584226
alloc,rt_sigprocmask,10000000,50000,100000,usec_per_iter,0.00076,0.00057,-0.4150374992788436
alloc,set_robust_list,10000000,100,5000,usec_per_iter,0.13,0.0018,-1.093998624142823
alloc,set_robust_list,10000000,5000,10000,usec_per_iter,0.0018,0.0015,-0.2630344058337929
alloc,set_robust_list,10000000,10000,50000,usec_per_iter,0.0015,0.00048,-0.7079703257798212
alloc,set_robust_list,10000000,50000,100000,usec_per_iter,0.00048,0.00066,0.459431618637297
alloc,set_tid_address,10000000,100,5000,usec_per_iter,0.13,0.002,-1.0670661353738067
alloc,set_tid_address,10000000,5000,10000,usec_per_iter,0.002,0.0016,-0.32192809488736224
alloc,set_tid_address,10000000,10000,50000,usec_per_iter,0.0016,0.00026,-1.129013591126491
alloc,set_tid_address,10000000,50000,100000,usec_per_iter,0.00026,0.00029,0.15754127698648127
alloc,write,10000000,100,5000,usec_per_iter,0.1,0.0034,-0.8643596291929022
alloc,write,10000000,5000,10000,usec_per_iter,0.0034,0.0012,-1.502500340529184
alloc,write,10000000,10000,50000,usec_per_iter,0.0012,0.0005,-0.5439593106327714
alloc,write,10000000,50000,100000,usec_per_iter,0.0005,0.00024,-1.0588936890535694
alloc,sched_yield,10000000,5000,10000,usec_per_iter,0.0326,0.012,-1.4418375586225591
alloc,sched_yield,10000000,10000,50000,usec_per_iter,0.012,0.01786,0.24707813988235214
alloc,sched_yield,10000000,50000,100000,usec_per_iter,0.01786,0.03096,0.793673391023187
baseline,brk,1000000,100,5000,usec_per_iter,0.49,0.0152,-0.8878040743710635
baseline,brk,1000000,5000,10000,usec_per_iter,0.0152,0.0025,-2.6040713236688604
baseline,brk,1000000,10000,50000,usec_per_iter,0.0025,0.00052,-0.9756308007595256
baseline,brk,1000000,50000,100000,usec_per_iter,0.00052,0.00032,-0.7004397181410911
baseline,clone3,1000000,100,5000,usec_per_iter,0.55,0.0848,-0.47791711164133116
baseline,clone3,1000000,5000,10000,usec_per_iter,0.0848,0.0032,-4.727920454563198
baseline,clone3,1000000,10000,50000,usec_per_iter,0.0032,0.00118,-0.6198663294934388
baseline,clone3,1000000,50000,100000,usec_per_iter,0.00118,0.00067,-0.8165538589040684
baseline,close,1000000,100,5000,usec_per_iter,0.67,0.0132,-1.00384401557549
baseline,close,1000000,5000,10000,usec_per_iter,0.0132,0.0059,-1.1617510699966114
baseline,close,1000000,10000,50000,usec_per_iter,0.0059,0.0014,-0.8937779476779668
baseline,close,1000000,50000,100000,usec_per_iter,0.0014,0.00085,-0.719892080807265
baseline,execve,1000000,100,5000,usec_per_iter,0.0,0.0,nan
baseline,execve,1000000,5000,10000,usec_per_iter,0.0,0.0,nan
baseline,execve,1000000,10000,50000,usec_per_iter,0.0,0.0,nan
baseline,execve,1000000,50000,100000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,1000000,100,5000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,1000000,5000,10000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,1000000,10000,50000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,1000000,50000,100000,usec_per_iter,0.0,0.00015,nan
baseline,fstat,1000000,100,5000,usec_per_iter,0.95,0.0096,-1.174507123231484
baseline,fstat,1000000,5000,10000,usec_per_iter,0.0096,0.0116,0.2730184944064159
baseline,fstat,1000000,10000,50000,usec_per_iter,0.0116,0.00218,-1.0386733209130679
baseline,fstat,1000000,50000,100000,usec_per_iter,0.00218,0.0029,0.4117247652380081
baseline,futex,1000000,100,5000,usec_per_iter,1.67,0.0342,-0.9939494875022303
baseline,futex,1000000,5000,10000,usec_per_iter,0.0342,0.0603,0.8181616770141865
baseline,futex,1000000,10000,50000,usec_per_iter,0.0603,0.0054,-1.4992396609531908
baseline,futex,1000000,50000,100000,usec_per_iter,0.0054,0.00362,-0.5769697099676254
baseline,getrandom,1000000,100,5000,usec_per_iter,0.26,0.0012,-1.3748283347922046
baseline,getrandom,1000000,5000,10000,usec_per_iter,0.0012,0.0053,2.1429579538420427
baseline,getrandom,1000000,10000,50000,usec_per_iter,0.0053,0.00028,-1.8271425530939036
baseline,getrandom,1000000,50000,100000,usec_per_iter,0.00028,0.00036,0.3625700793847076
baseline,ioctl,1000000,100,5000,usec_per_iter,0.27,0.009,-0.8694216207171603
baseline,ioctl,1000000,5000,10000,usec_per_iter,0.009,0.0111,0.30256277002043097
