backend,variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,kernels,control_io,5000000,50000,100000,usec_per_iter,0.00102,0.00014,-2.8650704199138914
tb_cpu,kernels,file_io,5000000,100,5000,usec_per_iter,0.03,0.011399999999999999,-0.2473359755091239
tb_cpu,kernels,file_io,5000000,5000,10000,usec_per_iter,0.011399999999999999,0.0086,-0.40662525946264455
tb_cpu,kernels,file_io,5000000,10000,50000,usec_per_iter,0.0086,0.0048400000000000006,-0.3571728229401076
tb_cpu,kernels,file_io,5000000,50000,100000,usec_per_iter,0.0048400000000000006,0.00046,-3.3953012812175816
tb_cpu,kernels,memory,5000000,100,5000,usec_per_iter,0.69,0.0248,-0.850160630396491
tb_cpu,kernels,memory,5000000,5000,10000,usec_per_iter,0.0248,0.0151,-0.715791571061796
tb_cpu,kernels,memory,5000000,10000,50000,usec_per_iter,0.0151,0.0051,-0.6744306168660876
tb_cpu,kernels,memory,5000000,50000,100000,usec_per_iter,0.0051,0.00124,-2.040157126471983
tb_cpu,kernels,other,5000000,100,5000,usec_per_iter,0.06,0.0014,-0.9605956612184114
tb_cpu,kernels,other,5000000,5000,10000,usec_per_iter,0.0014,0.0007,-1.0
tb_cpu,kernels,other,5000000,10000,50000,usec_per_iter,0.0007,0.00016,-0.9170322809019888
tb_cpu,kernels,other,5000000,50000,100000,usec_per_iter,0.00016,6e-05,-1.4150374992788448
tb_cpu,kernels,sync,5000000,100,5000,usec_per_iter,0.04,0.0008,-0.9999999999999999
tb_cpu,kernels,sync,5000000,5000,10000,usec_per_iter,0.0008,0.0002,-2.0000000000000013
tb_cpu,kernels,sync,5000000,10000,50000,usec_per_iter,0.0002,6e-05,-0.7480703635874081
tb_cpu,kernels,sync,5000000,50000,100000,usec_per_iter,6e-05,3e-05,-1.0
tb_cpu,kernels,control_io,10000000,100,5000,usec_per_iter,0.14,0.0,nan
tb_cpu,kernels,control_io,10000000,5000,10000,usec_per_iter,0.0,0.0245,nan
tb_cpu,kernels,control_io,10000000,10000,50000,usec_per_iter,0.0245,0.00034,-2.6577494825217483
tb_cpu,kernels,control_io,10000000,50000,100000,usec_per_iter,0.00034,7e-05,-2.280107919192735
tb_cpu,kernels,file_io,10000000,100,5000,usec_per_iter,0.88,0.0,nan
tb_cpu,kernels,file_io,10000000,5000,10000,usec_per_iter,0.0,0.0199,nan
tb_cpu,kernels,file_io,10000000,10000,50000,usec_per_iter,0.0199,0.00324,-1.127813870856936
tb_cpu,kernels,file_io,10000000,50000,100000,usec_per_iter,0.00324,0.0,nan
tb_cpu,kernels,memory,10000000,100,5000,usec_per_iter,1.97,0.0,nan
tb_cpu,kernels,memory,10000000,5000,10000,usec_per_iter,0.0,0.0209,nan
tb_cpu,kernels,memory,10000000,10000,50000,usec_per_iter,0.0209,0.0044199999999999995,-0.965311833950459
tb_cpu,kernels,memory,10000000,50000,100000,usec_per_iter,0.0044199999999999995,0.0004999999999999999,-3.1440463696167056
tb_cpu,kernels,other,10000000,100,5000,usec_per_iter,0.06,0.0,nan
tb_cpu,kernels,other,10000000,5000,10000,usec_per_iter,0.0,0.0007,nan
tb_cpu,kernels,other,10000000,10000,50000,usec_per_iter,0.0007,0.00018,-0.8438495661501971
tb_cpu,kernels,other,10000000,50000,100000,usec_per_iter,0.00018,0.0,nan
tb_cpu,kernels,sync,10000000,100,5000,usec_per_iter,0.04,0.0,nan
tb_cpu,kernels,sync,10000000,5000,10000,usec_per_iter,0.0,0.0004,nan
tb_cpu,kernels,sync,10000000,10000,50000,usec_per_iter,0.0004,0.0001,-0.8613531161467861
tb_cpu,kernels,sync,10000000,50000,100000,usec_per_iter,0.0001,4e-05,-1.3219280948873635
tb_cuda,alloc,control_io,1000000,100,5000,usec_per_iter,0.86,0.12960000000000002,-0.4837598354364122
tb_cuda,alloc,control_io,1000000,5000,10000,usec_per_iter,0.12960000000000002,0.0085,-3.9304590667469226
tb_cuda,alloc,control_io,1000000,10000,50000,usec_per_iter,0.0085,0.00494,-0.3371989861203554
tb_cuda,alloc,control_io,1000000,50000,100000,usec_per_iter,0.00494,0.00688,0.47789752311741956
tb_cuda,alloc,file_io,1000000,100,5000,usec_per_iter,5.899999999999999,0.1684,-0.9090860465674492
tb_cuda,alloc,file_io,1000000,5000,10000,usec_per_iter,0.1684,0.0583,-1.5303243498658996
tb_cuda,alloc,file_io,1000000,10000,50000,usec_per_iter,0.0583,0.006599999999999999,-1.353598313730086
tb_cuda,alloc,file_io,1000000,50000,100000,usec_per_iter,0.006599999999999999,0.00659,-0.0021875592377639135
tb_cuda,alloc,memory,1000000,100,5000,usec_per_iter,7.310000000000001,0.1754,-0.9534528471919158
tb_cuda,alloc,memory,1000000,5000,10000,usec_per_iter,0.1754,0.0861,-1.0265636050478895
tb_cuda,alloc,memory,1000000,10000,50000,usec_per_iter,0.0861,0.0091,-1.3962856103670271
tb_cuda,alloc,memory,1000000,50000,100000,usec_per_iter,0.0091,0.00603,-0.5937085431859732
tb_cuda,alloc,other,1000000,100,5000,usec_per_iter,0.16,0.0036,-0.9698920391079108
tb_cuda,alloc,other,1000000,5000,10000,usec_per_iter,0.0036,0.0016,-1.1699250014423115
tb_cuda,alloc,other,1000000,10000,50000,usec_per_iter,0.0016,0.00012,-1.6094234797341953
