run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_be_long/long1/proper/delay_50/r1,out_core/lc_vs_be_long/long1/proper/delay_50/r1,lc_vs_be_long,long1,proper,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.40016166,20.000159,22.550178399999997,23.000182,23.000182,19.00015,0.9035150361002801
lc_vs_be_long/long1/proper/delay_50/r2,out_core/lc_vs_be_long/long1/proper/delay_50/r2,lc_vs_be_long,long1,proper,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.18016018,20.000159,21.000167,21.000167,21.000167,19.000151,0.5602522165440478
lc_vs_be_long/long1/proper/delay_50/r3,out_core/lc_vs_be_long/long1/proper/delay_50/r3,lc_vs_be_long,long1,proper,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.100159820000002,20.000159,21.000167,21.000167,21.000167,19.000151,0.7354079778677821
lc_vs_be_long/long1/proper/delay_50/r4,out_core/lc_vs_be_long/long1/proper/delay_50/r4,lc_vs_be_long,long1,proper,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.38016222,20.000159,22.550179399999998,23.510187079999998,24.000191,19.000151,1.0279842336132594
lc_vs_be_long/long1/proper/delay_50/r5,out_core/lc_vs_be_long/long1/proper/delay_50/r5,lc_vs_be_long,long1,proper,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.580164,20.00016,23.000183,23.000184,23.000184,20.000159,0.970805934946163
lc_vs_mixed/mixed2/naive/delay_50/r1,out_core/lc_vs_mixed/mixed2/naive/delay_50/r1,lc_vs_mixed,mixed2,naive,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.680164,21.000166,22.000174549999997,22.000175,22.000175,19.00015,0.8437108751589432
lc_vs_mixed/mixed2/naive/delay_50/r2,out_core/lc_vs_mixed/mixed2/naive/delay_50/r2,lc_vs_mixed,mixed2,naive,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.74016476,21.0001665,22.000175,23.510186079999997,24.00019,19.000151,1.0460893527540611
lc_vs_mixed/mixed2/naive/delay_50/r3,out_core/lc_vs_mixed/mixed2/naive/delay_50/r3,lc_vs_mixed,mixed2,naive,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.46016278,20.000159500000002,22.000175,23.000183,23.000183,19.000151,0.9521265578156346
lc_vs_mixed/mixed2/naive/delay_50/r4,out_core/lc_vs_mixed/mixed2/naive/delay_50/r4,lc_vs_mixed,mixed2,naive,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.70016486,21.000167,22.000176,22.51017957,23.000183,19.000151,0.9313220338139034
lc_vs_mixed/mixed2/naive/delay_50/r5,out_core/lc_vs_mixed/mixed2/naive/delay_50/r5,lc_vs_mixed,mixed2,naive,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,50,20.68016496,20.00016,22.000176,23.00018351,23.000184,19.000152,0.9354763134984283
