run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,be_phase_types,be_granularities,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
lc_vs_be_long/long1/naive/delay_50/r1,out_core/lc_vs_be_long/long1/naive/delay_50/r1,lc_vs_be_long,long1,naive,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.587591825,12.000095,12.000096,12.210097469999994,13.000103,11.000087,0.5203192842978208,927.007346,1147.009091,69.74661371711831,69.74661371711831
lc_vs_be_long/long1/naive/delay_50/r2,out_core/lc_vs_be_long/long1/naive/delay_50/r2,lc_vs_be_long,long1,naive,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.5375916,12.000095,12.000096,12.000096,12.000096,11.000087,0.5017414786606211,923.007328,1148.009113,69.68585797280164,69.68585797280164
lc_vs_be_long/long1/naive/delay_50/r3,out_core/lc_vs_be_long/long1/naive/delay_50/r3,lc_vs_be_long,long1,naive,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6000922125,12.000095,12.000096,12.210097469999994,13.000103,11.000087,0.5180334968076158,928.007377,1151.00915,69.50422592209627,69.50422592209627
lc_vs_be_long/long1/naive/delay_50/r4,out_core/lc_vs_be_long/long1/naive/delay_50/r4,lc_vs_be_long,long1,naive,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6125924,12.000095,12.050096349999997,13.000104,13.000104,11.000087,0.5844821228408501,929.007392,1150.009152,69.5646637775627,69.5646637775627
lc_vs_be_long/long1/naive/delay_50/r5,out_core/lc_vs_be_long/long1/naive/delay_50/r5,lc_vs_be_long,long1,naive,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.5125917375,11.5000915,12.000096,12.210097469999994,13.000103,11.000087,0.527567303600543,921.007339,1145.009125,69.86843882139367,69.86843882139367
lc_vs_be_long/long1/none/delay_0/r1,out_core/lc_vs_be_long/long1/none/delay_0/r1,lc_vs_be_long,long1,none,0,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.7000927375,12.000095,13.000103,13.210104469999994,14.00011,11.000087,0.6443573130343354,936.007419,1158.009177,69.08408118772621,69.08408118772621
lc_vs_be_long/long1/none/delay_0/r2,out_core/lc_vs_be_long/long1/none/delay_0/r2,lc_vs_be_long,long1,none,0,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6750926625,12.000095,13.000103,13.210105469999993,14.000111,11.000087,0.65168263663189,934.007413,1158.009192,69.08408029286178,69.08408029286178
lc_vs_be_long/long1/none/delay_0/r3,out_core/lc_vs_be_long/long1/none/delay_0/r3,lc_vs_be_long,long1,none,0,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.825093975,12.000095,13.00010305,13.210105679999995,14.000112,11.000087,0.7075598047141407,946.007518,1163.009245,68.78707142177532,68.78707142177532
lc_vs_be_long/long1/none/delay_0/r4,out_core/lc_vs_be_long/long1/none/delay_0/r4,lc_vs_be_long,long1,none,0,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.7250933625,12.000095,13.000103,13.000104,13.000104,11.000087,0.5948134475311818,938.007469,1161.009241,68.90556696266641,68.90556696266641
lc_vs_be_long/long1/none/delay_0/r5,out_core/lc_vs_be_long/long1/none/delay_0/r5,lc_vs_be_long,long1,none,0,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.950095274999999,12.000096,13.000104,14.000112000000001,14.000112,11.000087,0.7614172179460535,956.007622,1170.009324,68.37552347574282,68.37552347574282
lc_vs_be_long/long1/proper/delay_50/r1,out_core/lc_vs_be_long/long1/proper/delay_50/r1,lc_vs_be_long,long1,proper,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6375921,12.000095,12.000096,13.000103,13.000103,11.000086,0.5335320782291906,931.007368,1145.009075,69.86844187239302,69.86844187239302
lc_vs_be_long/long1/proper/delay_50/r2,out_core/lc_vs_be_long/long1/proper/delay_50/r2,lc_vs_be_long,long1,proper,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.5500916625,12.000095,12.000096,12.210097469999994,13.000103,11.000087,0.5253129953232808,924.007333,1147.009105,69.74661286581504,69.74661286581504
lc_vs_be_long/long1/proper/delay_50/r3,out_core/lc_vs_be_long/long1/proper/delay_50/r3,lc_vs_be_long,long1,proper,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6125922875,12.000095,12.000096,13.000104,13.000104,11.000087,0.5624078189068175,929.007383,1150.009142,69.56466438246801,69.56466438246801
lc_vs_be_long/long1/proper/delay_50/r4,out_core/lc_vs_be_long/long1/proper/delay_50/r4,lc_vs_be_long,long1,proper,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6250925,12.000095,12.000096,13.000103,13.000103,11.000087,0.5366369963404177,930.0074,1148.009139,69.68585639456307,69.68585639456307
lc_vs_be_long/long1/proper/delay_50/r5,out_core/lc_vs_be_long/long1/proper/delay_50/r5,lc_vs_be_long,long1,proper,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.612592574999999,12.000095,12.000096,12.210097679999993,13.000104,11.000087,0.5154306746758031,929.007406,1148.00915,69.68585572684677,69.68585572684677
lc_vs_mixed/mixed2/naive/delay_50/r1,out_core/lc_vs_mixed/mixed2/naive/delay_50/r1,lc_vs_mixed,mixed2,naive,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.47528145625,35.5002815,59.000468,60.82048273999999,68.000539,11.000087,22.257943266402155,5676.045033,4857.03853,32.9418840331909,16.47094201659545
lc_vs_mixed/mixed2/naive/delay_50/r2,out_core/lc_vs_mixed/mixed2/naive/delay_50/r2,lc_vs_mixed,mixed2,naive,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.55028239375,36.000285500000004,60.000477,62.82049914999999,66.000524,12.000095,22.240940462681873,5688.045183,4917.039064,32.53990824914057,16.269954124570283
lc_vs_mixed/mixed2/naive/delay_50/r3,out_core/lc_vs_mixed/mixed2/naive/delay_50/r3,lc_vs_mixed,mixed2,naive,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.56903296875,36.0002865,59.000469,60.82048355999999,68.000541,12.000095,22.28665453994678,5691.045275,4886.038871,32.7463624879541,16.37318124397705
lc_vs_mixed/mixed2/naive/delay_50/r4,out_core/lc_vs_mixed/mixed2/naive/delay_50/r4,lc_vs_mixed,mixed2,naive,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.58153341875,36.000286,59.05047039999999,61.000486,64.000509,11.000087,22.184502229632646,5693.045347,4886.03892,32.7463621595548,16.3731810797774
lc_vs_mixed/mixed2/naive/delay_50/r5,out_core/lc_vs_mixed/mixed2/naive/delay_50/r5,lc_vs_mixed,mixed2,naive,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.5502834875,35.5002835,59.000471,60.41048169,66.000526,11.000087,22.388068332951995,5688.045358,4901.039084,32.64613835101585,16.323069175507925
lc_vs_mixed/mixed2/none/delay_0/r1,out_core/lc_vs_mixed/mixed2/none/delay_0/r1,lc_vs_mixed,mixed2,none,0,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.36903051875,36.5002895,58.000461,60.64048070999999,66.000523,11.000088,22.072275885204714,5659.044883,4848.038452,33.003038565833556,16.501519282916778
lc_vs_mixed/mixed2/none/delay_0/r2,out_core/lc_vs_mixed/mixed2/none/delay_0/r2,lc_vs_mixed,mixed2,none,0,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.51903216875,36.000285500000004,59.000469,63.41050328,67.000532,11.000087,22.20023068197487,5683.045147,4890.038843,32.71957649764624,16.35978824882312
lc_vs_mixed/mixed2/none/delay_0/r3,out_core/lc_vs_mixed/mixed2/none/delay_0/r3,lc_vs_mixed,mixed2,none,0,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.38778150625,36.000286,59.000469,60.41048087,65.000517,11.000088,22.12616958727214,5662.045041,4892.038912,32.70619937374693,16.353099686873463
lc_vs_mixed/mixed2/none/delay_0/r4,out_core/lc_vs_mixed/mixed2/none/delay_0/r4,lc_vs_mixed,mixed2,none,0,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.63153380625,36.0002865,59.00047,61.82049214999999,68.000542,11.000087,22.35850123578415,5701.045409,4876.038835,32.81352044440803,16.406760222204014
lc_vs_mixed/mixed2/none/delay_0/r5,out_core/lc_vs_mixed/mixed2/none/delay_0/r5,lc_vs_mixed,mixed2,none,0,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.38778219375,36.0002865,59.000470050000004,62.00049441,65.000518,11.000088,22.141230196391955,5662.045151,4880.038912,32.78662381288815,16.393311906444076
lc_vs_mixed/mixed2/proper/delay_50/r1,out_core/lc_vs_mixed/mixed2/proper/delay_50/r1,lc_vs_mixed,mixed2,proper,50,1,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.60028244375,36.000285500000004,59.05046929999998,61.41048728,66.000524,11.000087,22.24727375507081,5696.045191,4901.038886,32.64613966990671,16.323069834953355
lc_vs_mixed/mixed2/proper/delay_50/r2,out_core/lc_vs_mixed/mixed2/proper/delay_50/r2,lc_vs_mixed,mixed2,proper,50,2,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.406531325,35.500282,59.000469,60.410479869999996,61.000485,11.000087,22.23457597604817,5665.045012,4886.038825,32.746362796247325,16.373181398123663
lc_vs_mixed/mixed2/proper/delay_50/r3,out_core/lc_vs_mixed/mixed2/proper/delay_50/r3,lc_vs_mixed,mixed2,proper,50,3,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.694033974999996,35.5002825,61.000485,64.41051287,67.000533,11.000088,22.466084965776773,5711.045436,4895.038948,32.686154635270526,16.343077317635263
lc_vs_mixed/mixed2/proper/delay_50/r4,out_core/lc_vs_mixed/mixed2/proper/delay_50/r4,lc_vs_mixed,mixed2,proper,50,4,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.54403321875,36.000287,59.000470050000004,61.000486,65.000518,11.000087,22.206994123037266,5687.045315,4901.039045,32.64613861079737,16.323069305398686
lc_vs_mixed/mixed2/proper/delay_50/r5,out_core/lc_vs_mixed/mixed2/proper/delay_50/r5,lc_vs_mixed,mixed2,proper,50,5,1,1,2,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,2,160,160,35.63153421875,36.000287,59.000471,61.000487,65.000519,12.000095,22.208629858259243,5701.045475,4890.039001,32.71957544045772,16.35978772022886
