run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_mixed/mixed4/proper/delay_5000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r2,lc_vs_mixed,mixed4,proper,5000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,23.08020496,23.000204,27.00024,28.000248,28.000248,20.000177,2.5462483019542654
lc_vs_mixed/mixed4/proper/delay_5000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r3,lc_vs_mixed,mixed4,proper,5000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.08019664,21.000187,27.00024055,27.000241,27.000241,19.000169,2.663763682705538
lc_vs_mixed/mixed4/proper/delay_50000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r1,lc_vs_mixed,mixed4,proper,50000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.62018292,20.000178,23.100204899999994,25.510226099999997,26.000231,19.000169,1.3231187258087265
lc_vs_mixed/mixed4/proper/delay_50000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r2,lc_vs_mixed,mixed4,proper,50000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.340180919999998,20.000178,21.000187,21.51019108,22.000195,19.000169,0.6263001288994794
lc_vs_mixed/mixed4/proper/delay_50000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_50000/r3,lc_vs_mixed,mixed4,proper,50000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.50018254,20.5001825,22.000196,22.000196,22.000196,19.000169,0.8144183225683406
lc_vs_mixed/mixed4/proper/delay_72000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r1,lc_vs_mixed,mixed4,proper,72000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.12018742,21.000186,26.000231,27.020239669999995,28.000248,19.000168,1.891350381280799
lc_vs_mixed/mixed4/proper/delay_72000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r2,lc_vs_mixed,mixed4,proper,72000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.16017944,20.000178,21.000187,21.510191589999998,22.000196,19.000168,0.6502805197144763
lc_vs_mixed/mixed4/proper/delay_72000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_72000/r3,lc_vs_mixed,mixed4,proper,72000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.14017948,20.000178,21.00018755,22.000196,22.000196,18.00016,0.7287179584032479
lc_vs_mixed/mixed4/proper/delay_87500/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r1,lc_vs_mixed,mixed4,proper,87500,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.24017956,20.000178,21.5501914,22.000195,22.000195,19.000168,0.6565272358876924
lc_vs_mixed/mixed4/proper/delay_87500/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r2,lc_vs_mixed,mixed4,proper,87500,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.380181399999998,20.000178,21.550192399999997,22.000196,22.000196,19.000168,0.7253495259092517
lc_vs_mixed/mixed4/proper/delay_87500/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_87500/r3,lc_vs_mixed,mixed4,proper,87500,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.24018048,20.000179,21.00018755,21.51019208,22.000196,19.000169,0.591095566729644
