backend,variant,key,E_iters_mean,E_bytes_mean,class
tb_cuda,alloc,writev,-0.9458927587547317,-0.19897784671578958,mixed
tb_cuda,baseline,access,-0.8110381369568952,0.3453780647838525,mixed
tb_cuda,baseline,arch_prctl,-0.8751841970818346,-0.1702020027714135,mixed
tb_cuda,baseline,brk,-1.0930386479210672,0.27903616108828844,mixed
tb_cuda,baseline,close,-1.1666017393912067,0.2852585463883262,mixed
tb_cuda,baseline,execve,-0.5774869187089923,0.6077413369303509,mixed
tb_cuda,baseline,fstat,-1.1634932986252748,0.2934807883629841,mixed
tb_cuda,baseline,futex,-1.0306412096359914,0.29822743947250874,mixed
tb_cuda,baseline,getrandom,-0.9188547682984739,0.14623296506309943,mixed
tb_cuda,baseline,mmap,-1.771246800606038,0.6607475831478564,mixed
tb_cuda,baseline,mprotect,-0.9912762990022196,0.14740015284716793,mixed
