variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,execve,5000,5000000,10000000,usec_per_iter,0.0,0.0,nan
alloc,faccessat,5000,1000000,5000000,usec_per_iter,0.004,0.0,nan
alloc,faccessat,5000,5000000,10000000,usec_per_iter,0.0,0.0,nan
alloc,fstat,5000,1000000,5000000,usec_per_iter,0.0352,0.02,-0.351249218551764
alloc,fstat,5000,5000000,10000000,usec_per_iter,0.02,0.0398,0.9927684307689238
alloc,futex,5000,1000000,5000000,usec_per_iter,253.2472,232.2636,-0.053741217702537
alloc,futex,5000,5000000,10000000,usec_per_iter,232.2636,252.6294,0.12125946910167586
alloc,getrandom,5000,1000000,5000000,usec_per_iter,0.002,0.0042,0.4609915915347591
alloc,getrandom,5000,5000000,10000000,usec_per_iter,0.0042,0.002,-1.070389327891397
alloc,ioctl,5000,1000000,5000000,usec_per_iter,0.02,0.024600000000000004,0.1286251353873226
alloc,ioctl,5000,5000000,10000000,usec_per_iter,0.024600000000000004,0.0126,-0.9652345818393234
alloc,madvise,5000,1000000,5000000,usec_per_iter,0.0036,0.0034,-0.035514519322775495
alloc,madvise,5000,5000000,10000000,usec_per_iter,0.0034,0.0028,-0.28010791919273503
alloc,mmap,5000,1000000,5000000,usec_per_iter,0.1144,0.0554,-0.4505433105498249
alloc,mmap,5000,5000000,10000000,usec_per_iter,0.0554,0.1122,1.0181147945596039
alloc,mprotect,5000,1000000,5000000,usec_per_iter,0.031,0.0368,0.10656555270923607
alloc,mprotect,5000,5000000,10000000,usec_per_iter,0.0368,0.0316,-0.2197812078799095
alloc,munmap,5000,1000000,5000000,usec_per_iter,0.0712,0.005,-1.6502997011961975
alloc,munmap,5000,5000000,10000000,usec_per_iter,0.005,0.2944,5.879705766282287
alloc,openat,5000,1000000,5000000,usec_per_iter,0.022,0.0,nan
alloc,openat,5000,5000000,10000000,usec_per_iter,0.0,0.0206,nan
alloc,pread64,5000,1000000,5000000,usec_per_iter,0.009,0.0,nan
alloc,pread64,5000,5000000,10000000,usec_per_iter,0.0,0.0104,nan
