variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
kernels,1000000,100000,mprotect,28,0.00062,0.21000000000000002,0.00028,0.0062,22.142857142857142,2.8e-05,0.00062
kernels,1000000,100000,munmap,38,0.002535,0.84,0.00038,0.02535,66.71052631578948,3.8e-05,0.002535
kernels,1000000,100000,newfstatat,8,0.000134,0.05,8e-05,0.00134,16.75,8e-06,0.000134
kernels,1000000,100000,openat,36,0.000607,0.2,0.00036,0.00607,16.86111111111111,3.6e-05,0.000607
kernels,1000000,100000,pread64,4,7.099999999999999e-05,0.02,4e-05,0.0007099999999999999,17.749999999999996,4e-06,7.099999999999999e-05
kernels,1000000,100000,prlimit64,2,4.3e-05,0.01,2e-05,0.00043,21.5,2e-06,4.3e-05
kernels,1000000,100000,read,24,0.000447,0.15000000000000002,0.00024,0.00447,18.625,2.4e-05,0.000447
kernels,1000000,100000,rseq,2,2.9e-05,0.01,2e-05,0.00029,14.5,2e-06,2.9e-05
kernels,1000000,100000,rt_sigaction,2,2.2e-05,0.0,2e-05,0.00022,11.0,2e-06,2.2e-05
kernels,1000000,100000,rt_sigprocmask,6,0.000132,0.04,6e-05,0.00132,22.0,6e-06,0.000132
kernels,1000000,100000,set_robust_list,2,2.7e-05,0.01,2e-05,0.00027,13.5,2e-06,2.7e-05
kernels,1000000,100000,set_tid_address,2,1.9e-05,0.0,2e-05,0.00019,9.5,2e-06,1.9e-05
kernels,1000000,100000,write,2,1e-06,0.0,2e-05,1e-05,0.5,2e-06,1e-06
kernels,5000000,100,brk,6,1.4e-05,0.21,0.06,0.14,2.3333333333333335,1.2e-06,2.8e-06
kernels,5000000,100,clone3,2,8.3e-05,1.9500000000000002,0.02,0.83,41.5,4e-07,1.66e-05
kernels,5000000,100,close,26,0.000276,6.66,0.26,2.76,10.615384615384615,5.2e-06,5.52e-05
kernels,5000000,100,execve,2,0.000206,3.11,0.02,2.06,103.0,4e-07,4.12e-05
kernels,5000000,100,faccessat,2,1.4e-05,0.21,0.02,0.14,7.0,4e-07,2.8e-06
kernels,5000000,100,fstat,28,0.00025299999999999997,5.93,0.28,2.53,9.035714285714285,5.6e-06,5.06e-05
kernels,5000000,100,futex,20,0.0023020000000000002,53.129999999999995,0.2,23.02,115.1,4e-06,0.0004604
kernels,5000000,100,getrandom,2,1.2e-05,0.18,0.02,0.12,6.0,4e-07,2.4e-06
kernels,5000000,100,ioctl,2,2.7000000000000002e-05,0.47,0.02,0.27,13.500000000000002,4e-07,5.400000000000001e-06
