variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,fstat,100000,1000000,5000000,usec_per_iter,0.00766,0.0029,-0.6035033965933385
alloc,fstat,100000,5000000,10000000,usec_per_iter,0.0029,0.00044,-2.7204774713776363
alloc,futex,100000,1000000,5000000,usec_per_iter,258.03305,262.20698,0.009970259963908632
alloc,futex,100000,5000000,10000000,usec_per_iter,262.20698,247.02303,-0.08606054009951418
alloc,getrandom,100000,1000000,5000000,usec_per_iter,0.0,0.00014,nan
alloc,getrandom,100000,5000000,10000000,usec_per_iter,0.00014,0.00048,1.7776075786635526
alloc,ioctl,100000,1000000,5000000,usec_per_iter,0.00235,0.00121,-0.41243900334340905
alloc,ioctl,100000,5000000,10000000,usec_per_iter,0.00121,0.0,nan
alloc,madvise,100000,1000000,5000000,usec_per_iter,0.0,0.00016,nan
alloc,madvise,100000,5000000,10000000,usec_per_iter,0.00016,0.00054,1.754887502163468
alloc,mmap,100000,1000000,5000000,usec_per_iter,0.0,0.00822,nan
alloc,mmap,100000,5000000,10000000,usec_per_iter,0.00822,0.00547,-0.5875975608891272
alloc,mprotect,100000,1000000,5000000,usec_per_iter,0.0,0.00233,nan
alloc,mprotect,100000,5000000,10000000,usec_per_iter,0.00233,0.00258,0.14704111076897305
alloc,munmap,100000,1000000,5000000,usec_per_iter,0.05588,0.05402,-0.021033545788102962
alloc,munmap,100000,5000000,10000000,usec_per_iter,0.05402,0.03441,-0.6506657477719858
alloc,openat,100000,1000000,5000000,usec_per_iter,0.0,0.00097,nan
alloc,openat,100000,5000000,10000000,usec_per_iter,0.00097,0.00075,-0.37109415169124593
alloc,pread64,100000,1000000,5000000,usec_per_iter,0.0,0.00028,nan
alloc,pread64,100000,5000000,10000000,usec_per_iter,0.00028,0.00138,2.301169534720565
alloc,prlimit64,100000,1000000,5000000,usec_per_iter,0.0,0.0001,nan
alloc,prlimit64,100000,5000000,10000000,usec_per_iter,0.0001,0.00013,0.37851162325372756
alloc,read,100000,1000000,5000000,usec_per_iter,0.0,0.00059,nan
alloc,read,100000,5000000,10000000,usec_per_iter,0.00059,0.00097,0.7172697928252859
alloc,rseq,100000,1000000,5000000,usec_per_iter,0.0,0.0001,nan
alloc,rseq,100000,5000000,10000000,usec_per_iter,0.0001,0.00069,2.786596361890805
alloc,rt_sigaction,100000,1000000,5000000,usec_per_iter,0.0,0.00013,nan
alloc,rt_sigaction,100000,5000000,10000000,usec_per_iter,0.00013,0.00014,0.10691520391651291
alloc,rt_sigprocmask,100000,1000000,5000000,usec_per_iter,0.0,0.00187,nan
alloc,rt_sigprocmask,100000,5000000,10000000,usec_per_iter,0.00187,0.00204,0.12553088208385943
alloc,sched_yield,100000,1000000,5000000,usec_per_iter,0.01794,0.04842,0.6169110887773475
alloc,sched_yield,100000,5000000,10000000,usec_per_iter,0.04842,0.0366,-0.4037594308275316
alloc,set_robust_list,100000,1000000,5000000,usec_per_iter,0.0,0.0001,nan
alloc,set_robust_list,100000,5000000,10000000,usec_per_iter,0.0001,0.00026,1.3785116232537276
alloc,set_tid_address,100000,1000000,5000000,usec_per_iter,0.0,0.00014,nan
alloc,set_tid_address,100000,5000000,10000000,usec_per_iter,0.00014,0.00013,-0.10691520391651291
alloc,write,100000,1000000,5000000,usec_per_iter,0.0,0.00023,nan
alloc,write,100000,5000000,10000000,usec_per_iter,0.00023,0.00087,1.919381539791715
baseline,brk,100,1000000,5000000,usec_per_iter,0.31,0.0,nan
baseline,brk,100,5000000,10000000,usec_per_iter,0.0,0.48,nan
baseline,clone3,100,1000000,5000000,usec_per_iter,0.66,0.0,nan
baseline,clone3,100,5000000,10000000,usec_per_iter,0.0,6.81,nan
baseline,close,100,1000000,5000000,usec_per_iter,0.34,0.0,nan
baseline,close,100,5000000,10000000,usec_per_iter,0.0,0.87,nan
baseline,execve,100,1000000,5000000,usec_per_iter,0.0,0.0,nan
baseline,execve,100,5000000,10000000,usec_per_iter,0.0,1.59,nan
baseline,faccessat,100,1000000,5000000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,100,5000000,10000000,usec_per_iter,0.0,0.21,nan
baseline,fstat,100,1000000,5000000,usec_per_iter,1.19,0.75,-0.28683018835877
baseline,fstat,100,5000000,10000000,usec_per_iter,0.75,1.46,0.9610058683841363
baseline,futex,100,1000000,5000000,usec_per_iter,3.28,1.13,-0.6621105302907642
baseline,futex,100,5000000,10000000,usec_per_iter,1.13,3.17,1.4881600677242195
baseline,getrandom,100,1000000,5000000,usec_per_iter,0.17,0.0,nan
baseline,getrandom,100,5000000,10000000,usec_per_iter,0.0,0.1,nan
baseline,ioctl,100,1000000,5000000,usec_per_iter,0.72,1.03,0.22247696941104678
baseline,ioctl,100,5000000,10000000,usec_per_iter,1.03,0.61,-0.755763189620332
baseline,madvise,100,1000000,5000000,usec_per_iter,0.19,0.0,nan
baseline,madvise,100,5000000,10000000,usec_per_iter,0.0,0.24,nan
baseline,mmap,100,1000000,5000000,usec_per_iter,2.59,1.89,-0.19577086149497325
baseline,mmap,100,5000000,10000000,usec_per_iter,1.89,7.24,1.9376034628621326
baseline,mprotect,100,1000000,5000000,usec_per_iter,1.81,0.0,nan
baseline,mprotect,100,5000000,10000000,usec_per_iter,0.0,1.51,nan
baseline,munmap,100,1000000,5000000,usec_per_iter,1.83,13.21,1.228166763321377
baseline,munmap,100,5000000,10000000,usec_per_iter,13.21,25.68,0.9590147358754758
baseline,openat,100,1000000,5000000,usec_per_iter,0.26,0.0,nan
baseline,openat,100,5000000,10000000,usec_per_iter,0.0,1.1,nan
baseline,pread64,100,1000000,5000000,usec_per_iter,0.0,0.0,nan
baseline,pread64,100,5000000,10000000,usec_per_iter,0.0,0.24,nan
baseline,prlimit64,100,1000000,5000000,usec_per_iter,0.16,0.0,nan
baseline,prlimit64,100,5000000,10000000,usec_per_iter,0.0,0.14,nan
baseline,read,100,1000000,5000000,usec_per_iter,0.16,0.0,nan
baseline,read,100,5000000,10000000,usec_per_iter,0.0,0.62,nan
baseline,rseq,100,1000000,5000000,usec_per_iter,0.1,0.0,nan
baseline,rseq,100,5000000,10000000,usec_per_iter,0.0,0.09,nan
baseline,rt_sigaction,100,1000000,5000000,usec_per_iter,0.12,0.0,nan
baseline,rt_sigaction,100,5000000,10000000,usec_per_iter,0.0,0.13,nan
baseline,rt_sigprocmask,100,1000000,5000000,usec_per_iter,1.02,0.0,nan
baseline,rt_sigprocmask,100,5000000,10000000,usec_per_iter,0.0,2.12,nan
baseline,set_robust_list,100,1000000,5000000,usec_per_iter,0.17,0.0,nan
baseline,set_robust_list,100,5000000,10000000,usec_per_iter,0.0,0.09,nan
baseline,set_tid_address,100,1000000,5000000,usec_per_iter,0.12,0.0,nan
baseline,set_tid_address,100,5000000,10000000,usec_per_iter,0.0,0.36,nan
baseline,write,100,1000000,5000000,usec_per_iter,0.19,0.11,-0.33958669803017216
baseline,write,100,5000000,10000000,usec_per_iter,0.11,0.5,2.184424571137427
baseline,brk,5000,1000000,5000000,usec_per_iter,0.0072,0.0064,-0.07318271475179161
baseline,brk,5000,5000000,10000000,usec_per_iter,0.0064,0.0154,1.2667865406949022
baseline,clone3,5000,1000000,5000000,usec_per_iter,0.024,0.0074,-0.7310464237532344
baseline,clone3,5000,5000000,10000000,usec_per_iter,0.0074,0.01,0.43440282414577486
baseline,close,5000,1000000,5000000,usec_per_iter,0.012,0.0172,0.22368227519068543
baseline,close,5000,5000000,10000000,usec_per_iter,0.0172,0.0146,-0.23644019582208037
baseline,execve,5000,1000000,5000000,usec_per_iter,0.0,0.0,nan
baseline,execve,5000,5000000,10000000,usec_per_iter,0.0,0.0142,nan
baseline,faccessat,5000,1000000,5000000,usec_per_iter,0.0,0.0,nan
baseline,faccessat,5000,5000000,10000000,usec_per_iter,0.0,0.0028,nan
baseline,fstat,5000,1000000,5000000,usec_per_iter,0.036,0.0206,-0.34684647251555956
baseline,fstat,5000,5000000,10000000,usec_per_iter,0.0206,0.0248,0.26769578320365633
baseline,futex,5000,1000000,5000000,usec_per_iter,0.0732,0.072,-0.010270232746171707
baseline,futex,5000,5000000,10000000,usec_per_iter,0.072,0.0804,0.15919859484925444
baseline,getrandom,5000,1000000,5000000,usec_per_iter,0.003,0.0038,0.14687660594916524
baseline,getrandom,5000,5000000,10000000,usec_per_iter,0.0038,0.0028,-0.4405725913859807
baseline,ioctl,5000,1000000,5000000,usec_per_iter,0.009,0.0128,0.21884695946838745
baseline,ioctl,5000,5000000,10000000,usec_per_iter,0.0128,0.0072,-0.8300749985576872
baseline,madvise,5000,1000000,5000000,usec_per_iter,0.0036,0.0042,0.09577920256278899
baseline,madvise,5000,5000000,10000000,usec_per_iter,0.0042,0.0036,-0.22239242133644754
baseline,mmap,5000,1000000,5000000,usec_per_iter,0.0908,0.1592,0.3488808008466906
baseline,mmap,5000,5000000,10000000,usec_per_iter,0.1592,0.1242,-0.3581751623231674
baseline,mprotect,5000,1000000,5000000,usec_per_iter,0.0692,0.0372,-0.3856576861705669
baseline,mprotect,5000,5000000,10000000,usec_per_iter,0.0372,0.0816,1.1332665308634637
baseline,munmap,5000,1000000,5000000,usec_per_iter,0.0496,0.115,0.5225062042688774
baseline,munmap,5000,5000000,10000000,usec_per_iter,0.115,0.0542,-1.085269104477866
baseline,openat,5000,1000000,5000000,usec_per_iter,0.0132,0.0158,0.1117117405098769
baseline,openat,5000,5000000,10000000,usec_per_iter,0.0158,0.0202,0.35443073457469143
baseline,pread64,5000,1000000,5000000,usec_per_iter,0.0086,0.007,-0.12790307262789588
baseline,pread64,5000,5000000,10000000,usec_per_iter,0.007,0.0112,0.6780719051126365
baseline,prlimit64,5000,1000000,5000000,usec_per_iter,0.0048,0.0024,-0.43067655807339283
baseline,prlimit64,5000,5000000,10000000,usec_per_iter,0.0024,0.0028,0.22239242133644882
